,FIS code,Athlete,Year,Nation,Podiums,Wins,Top 10
302,3505445,OEBERG Jennie,1989.0,SWE,0.0,0.0,0.0
303,3426626,SKISTAD Kristine Stavaas,1999.0,NOR,0.0,0.0,1.0
304,3195313,LATUILLIERE Enora,1992.0,FRA,0.0,0.0,0.0
305,3295248,CANCLINI Alice,1994.0,ITA,0.0,0.0,0.0
306,3195263,QUINTIN Lena,1998.0,FRA,0.0,0.0,0.0
307,3155357,HOLIKOVA Zuzana,1999.0,CZE,0.0,0.0,0.0
308,3565065,KLEMENCIC Anita,1996.0,SLO,0.0,0.0,0.0
309,3125103,YILAMUJIANG Dinigeer,2001.0,CHN,0.0,0.0,0.0
310,3125106,JIALIN Bayani,1999.0,CHN,0.0,0.0,0.0
311,3385016,MALEC Vedrana,1990.0,CRO,0.0,0.0,0.0
312,3125070,MA Qinghua,1995.0,CHN,0.0,0.0,1.0
313,3125068,LI Lei,1994.0,CHN,0.0,0.0,1.0
314,3315025,DRNDIC Maida,1999.0,SRB,0.0,0.0,0.0
315,3385049,JAGECIC Nika,2003.0,CRO,0.0,0.0,0.0
316,3422115,TEFRE Gjoeran,1994.0,NOR,1.0,0.0,3.0
317,3421316,AUNE Paal Troean,1992.0,NOR,0.0,0.0,3.0
318,3150664,CERNY Ondrej,1999.0,CZE,0.0,0.0,0.0
319,3420365,BRANDSDAL Eirik,1986.0,NOR,1.0,0.0,2.0
320,3050198,HABENICHT Tobias,1993.0,AUT,0.0,0.0,0.0
321,3050267,MOSER Benjamin,1997.0,AUT,0.0,0.0,0.0
322,3290514,GABRIELLI Giacomo,1996.0,ITA,0.0,0.0,0.0
323,3560126,JENKO Andrej,1997.0,SLO,0.0,0.0,0.0
324,3560155,JAN Miha,2000.0,SLO,0.0,0.0,0.0
325,3550147,VIGANTS Raimo,1999.0,LAT,0.0,0.0,0.0
326,3560145,CRV Vili,1999.0,SLO,0.0,0.0,0.0
327,3120109,ENTEMAKE Maowulietibieke,1996.0,CHN,0.0,0.0,0.0
328,3380050,SKENDER Marko,2001.0,CRO,0.0,0.0,0.0
329,3560107,CRV Benjamin,1996.0,SLO,0.0,0.0,0.0
330,3560158,GROS Gal,2000.0,SLO,0.0,0.0,0.0
331,3310059,MILOSAVLJEVIC Milos,1995.0,SRB,0.0,0.0,0.0
332,3120105,WEI Meng,1996.0,CHN,0.0,0.0,0.0
333,3505990,ANDERSSON Ebba,1997.0,SWE,6.0,0.0,14.0
334,3425410,OESTBERG Ingvild Flugstad,1990.0,NOR,10.0,2.0,14.0
335,1360134,GASPARIN Selina,1984.0,SUI,0.0,0.0,0.0
336,3535601,OGDEN Katharine,1997.0,USA,0.0,0.0,0.0
337,3675060,SHALYGINA Kseniya,1998.0,KAZ,0.0,0.0,0.0
338,3905001,CHANLOUNG Karen,1996.0,THA,0.0,0.0,0.0
