,Rank,Bib,FIS code,Athlete,Year,Nation,Time,Diff. Time,FIS Points,Event,Place,Date,Result Type,Season
842,49,,3190268,BACKSCHEIDER Adrien,1992,FRA,1:17:52.1,+4:45.4,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
843,50,,3300190,YOSHIDA Keishin,1987,JPN,1:18:07.3,+5:00.6,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
844,51,,3300373,MIYAZAWA Hiroyuki,1991,JPN,1:18:19.4,+5:12.7,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
845,52,,3510479,RUEESCH Jason,1994,SUI,1:18:33.8,+5:27.1,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
846,53,,3290407,SALVADORI Giandomenico,1992,ITA,1:18:35.6,+5:28.9,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
847,54,,3670078,KLIMIN Olzhas,1996,KAZ,1:18:40.8,+5:34.1,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
848,55,,3190345,JOUVE Richard,1994,FRA,1:18:47.7,+5:41.0,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
849,56,,3670022,VELICHKO Yevgeniy,1987,KAZ,1:18:53.3,+5:46.6,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
850,57,,3180865,VUORINEN Lauri,1995,FIN,1:19:00.7,+5:54.0,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
851,58,,3501255,SVENSSON Oskar,1995,SWE,1:19:07.5,+6:00.8,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
852,59,,3290446,ZELGER Stefan,1995,ITA,1:19:09.9,+6:03.2,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
853,60,,3481163,RETIVYKH Gleb,1991,RUS,1:19:11.2,+6:04.5,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
854,61,,3190353,CHAUVIN Valentin,1995,FRA,1:19:16.6,+6:09.9,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
855,62,,3530679,BRATRUD Kyle,1993,USA,1:19:22.0,+6:15.3,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
856,63,,3250038,EINARSSON Snorri Eythor,1986,ISL,1:19:38.7,+6:32.0,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
857,64,,3670075,BORTSOV Konstantin,1995,KAZ,1:19:52.3,+6:45.6,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
858,65,,3430233,BURY Kamil,1995,POL,1:20:12.5,+7:05.8,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
859,66,,3530713,BOLGER Kevin,1993,USA,1:20:17.0,+7:10.3,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
860,67,,3180990,HAARALA Juuso,1996,FIN,1:20:19.7,+7:13.0,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
861,68,,3390240,HIMMA Martin,1999,EST,1:20:35.9,+7:29.2,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
862,69,,3530532,PATTERSON Scott,1992,USA,1:20:36.9,+7:30.2,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
863,70,,3700081,KORISTEK Jan,1996,SVK,1:20:38.0,+7:31.3,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
864,71,,3670077,DYUSSENOV Asset,1997,KAZ,1:21:00.6,+7:53.9,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
865,72,,3181015,HAKALA Karri,1996,FIN,1:21:04.5,+7:57.8,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
866,73,,3740072,MIKAYELYAN Mikayel,1999,ARM,1:21:19.5,+8:12.8,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
867,74,,3660055,VORANAU Aliaksandr,1990,BLR,1:21:28.3,+8:21.6,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
868,75,,3181098,SUHONEN Verneri,1997,FIN,1:21:32.3,+8:25.6,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
869,76,,3430103,STAREGA Maciej,1990,POL,1:21:39.5,+8:32.8,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
870,1,1,3425301,JOHAUG Therese,1988,NOR,42:35.3,42:35.3,0.00,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
871,2,4,3535410,DIGGINS Jessica,1991,USA,43:43.6,+1:08.3,37.42,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
872,3,2,3425499,WENG Heidi,1991,NOR,43:54.4,+1:19.1,43.34,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
873,4,5,3185256,PARMAKOSKI Krista,1990,FIN,44:05.9,+1:30.6,49.64,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
874,5,3,3425183,JACOBSEN Astrid Uhrenholdt,1987,NOR,44:06.4,+1:31.1,49.91,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
875,6,9,3505217,KALLA Charlotte,1987,SWE,44:06.5,+1:31.2,49.97,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
876,7,13,3055067,STADLOBER Teresa,1993,AUT,44:12.1,+1:36.8,53.03,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
877,8,6,3535320,MAUBET BJORNSEN Sadie,1989,USA,44:19.2,+1:43.9,56.92,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
878,9,14,3506079,LUNDGREN Moa,1998,SWE,44:31.4,+1:56.1,63.61,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
879,10,10,3185168,NISKANEN Kerttu,1988,FIN,44:46.6,+2:11.3,71.94,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
880,11,8,3486010,NEPRYAEVA Natalia,1995,RUS,45:04.9,+2:29.6,81.96,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
881,12,11,3425669,KALVAA Anne Kjersti,1992,NOR,45:07.1,+2:31.8,83.17,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
882,13,19,3205460,HENNIG Katharina,1996,GER,45:08.5,+2:33.2,83.94,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
883,14,25,3506008,RIBOM Emma,1997,SWE,45:10.2,+2:34.9,84.87,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
884,15,33,3486213,DURKINA Lidia,1997,RUS,45:42.5,+3:07.2,102.56,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
885,16,7,3535316,BRENNAN Rosie,1988,USA,45:45.3,+3:10.0,104.10,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
886,17,12,1274580,ISHIDA Masako,1980,JPN,45:57.6,+3:22.3,110.84,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
887,18,46,3427109,FOSSESHOLM Helene Marie,2001,NOR,46:00.7,+3:25.4,112.53,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
888,19,15,3505809,SUNDLING Jonna,1994,SWE,46:01.6,+3:26.3,113.03,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
889,20,20,3485862,ZHAMBALOVA Alisa,1994,RUS,46:04.6,+3:29.3,114.67,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
890,21,35,3425355,SLIND Silje Oeyre,1988,NOR,46:08.5,+3:33.2,116.81,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
891,22,40,3426200,WENG Lotta Udnes,1996,NOR,46:08.6,+3:33.3,116.86,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
892,23,39,3195219,CLAUDEL Delphine,1996,FRA,46:09.1,+3:33.8,117.14,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
893,24,30,3486314,KIRPICHENKO Yana,1996,RUS,46:10.5,+3:35.2,117.90,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
894,25,18,3425421,HAGA Ragnhild,1991,NOR,46:15.0,+3:39.7,120.37,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
895,26,34,3185137,KYLLOENEN Anne,1987,FIN,46:15.3,+3:40.0,120.53,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
896,27,22,3185114,MONONEN Laura,1984,FIN,46:31.0,+3:55.7,129.14,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
897,28,52,3426431,SIMPSON-LARSEN Karoline,1997,NOR,46:31.5,+3:56.2,129.41,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
898,29,23,3185579,MATINTALO Johanna,1996,FIN,46:34.6,+3:59.3,131.11,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
899,30,31,3486232,GOLOVAN Diana,1994,RUS,46:36.5,+4:01.2,132.15,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
900,31,26,3485849,NECHAEVSKAYA Anna,1991,RUS,46:42.3,+4:07.0,135.33,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
901,32,38,3675066,TYULENEVA Valeriya,1997,KAZ,46:42.4,+4:07.1,135.38,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
902,33,43,3535448,FRANKOWSKI Rosie,1991,USA,46:49.4,+4:14.1,139.22,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
903,34,44,3426110,SMEDAAS Magni,1995,NOR,46:50.6,+4:15.3,139.87,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
904,35,16,3505956,ROENNLUND Elina,1996,SWE,46:55.0,+4:19.7,142.28,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
905,36,21,3205407,FINK Pia,1995,GER,47:10.1,+4:34.8,150.56,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
906,37,28,3485490,TSAREVA Olga,1990,RUS,47:11.1,+4:35.8,151.11,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
907,38,48,3426535,KNUDSEN Tiril Liverud,1998,NOR,47:11.6,+4:36.3,151.38,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
908,39,17,3505675,SETTLIN Evelina,1992,SWE,47:25.0,+4:49.7,158.72,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
909,40,51,3426383,HARVIKEN Johanne Hauge,1997,NOR,47:33.5,+4:58.2,163.38,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
910,41,36,3675035,SHEVCHENKO Anna,1993,KAZ,47:54.3,+5:19.0,174.77,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
911,42,53,3125046,LI Xin,1992,CHN,48:05.7,+5:30.4,181.02,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
912,43,54,3125082,CHI Chunxue,1998,CHN,48:10.0,+5:34.7,183.38,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
913,44,49,3426149,SKAANES Marte,1996,NOR,48:10.3,+5:35.0,183.54,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
914,45,29,3205491,FRAEBEL Antonia,1997,GER,48:10.9,+5:35.6,183.87,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
915,46,37,3535385,PATTERSON Caitlin,1990,USA,48:11.3,+5:36.0,184.09,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
916,47,50,3675049,BYKOVA Irina,1993,KAZ,48:12.2,+5:36.9,184.58,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
917,48,32,3195250,CHAMIOT MAITRAL Laura,1998,FRA,48:42.2,+6:06.9,201.02,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
918,49,45,3675036,MANDRIKA Olga,1993,KAZ,48:44.4,+6:09.1,202.22,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
919,50,42,3195253,DUCORDEAU Juliette,1998,FRA,48:58.3,+6:23.0,209.84,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
920,51,47,3195224,BULLE Emilie,1997,FRA,50:11.8,+7:36.5,250.11,Women's Skiathlon 7.5/7.5km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
921,1,6,3482277,BOLSHUNOV Alexander,1996,RUS,1:17:42.4,1:17:42.4,0.00,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
922,2,4,3420586,HOLUND Hans Christer,1989,NOR,1:17:44.6,+2.2,0.66,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
923,3,3,3421320,IVERSEN Emil,1991,NOR,1:17:50.3,+7.9,2.37,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
924,4,1,3422819,KLAEBO Johannes Hoesflot,1996,NOR,1:18:39.8,+57.4,17.24,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
925,5,11,3420228,SUNDBY Martin Johnsrud,1984,NOR,1:18:40.1,+57.7,17.33,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
926,6,5,3420605,ROETHE Sjur,1988,NOR,1:18:41.2,+58.8,17.66,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
927,7,8,3501223,BURMAN Jens,1994,SWE,1:18:41.8,+59.4,17.84,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
928,8,26,3482280,SPITSOV Denis,1996,RUS,1:18:49.0,+1:06.6,20.00,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
929,9,2,3180535,NISKANEN Iivo,1992,FIN,1:18:51.8,+1:09.4,20.84,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
930,10,10,3481539,USTIUGOV Sergey,1992,RUS,1:19:25.3,+1:42.9,30.90,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
931,11,25,3421779,KRUEGER Simen Hegstad,1993,NOR,1:20:15.6,+2:33.2,46.00,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
932,12,36,3422186,TURTVEIT Vebjoern,1994,NOR,1:20:41.2,+2:58.8,53.69,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
933,13,50,3422521,AUGDAL Eirik Sverdrup,1995,NOR,1:20:41.3,+2:58.9,53.72,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
934,14,9,3481132,LARKOV Andrey,1989,RUS,1:20:41.4,+2:59.0,53.75,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
935,15,44,3422263,KVAALE Gaute,1995,NOR,1:20:41.9,+2:59.5,53.90,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
936,16,62,3420577,DYRHAUG Niklas,1987,NOR,1:20:42.3,+2:59.9,54.02,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
937,17,35,3422803,STENSHAGEN Mattis,1996,NOR,1:20:45.0,+3:02.6,54.83,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
938,18,15,3220002,MUSGRAVE Andrew,1990,GBR,1:20:45.3,+3:02.9,54.92,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
939,19,51,3422474,BRUVOLL Ole Joergen,1995,NOR,1:20:48.5,+3:06.1,55.88,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
940,20,18,3200205,BOEGL Lucas,1990,GER,1:20:49.7,+3:07.3,56.24,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
941,21,39,3300494,BABA Naoto,1996,JPN,1:20:53.2,+3:10.8,57.29,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
942,22,49,3510479,RUEESCH Jason,1994,SUI,1:20:53.6,+3:11.2,57.41,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
943,23,40,3423264,AMUNDSEN Harald Oestberg,1998,NOR,1:21:04.6,+3:22.2,60.72,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
944,24,38,3020003,ESTEVE ALTIMIRAS Ireneu,1996,AND,1:21:08.1,+3:25.7,61.77,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
945,25,13,3190111,MANIFICAT Maurice,1986,FRA,1:21:11.7,+3:29.3,62.85,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
946,26,41,3420961,KROGH Finn Haagen,1990,NOR,1:21:22.5,+3:40.1,66.09,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
947,27,14,3482350,POROSHKIN Ilia,1995,RUS,1:21:26.5,+3:44.1,67.29,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
948,28,7,3180557,HYVARINEN Perttu,1991,FIN,1:21:47.4,+4:05.0,73.57,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
949,29,27,3481161,BELOV Evgeniy,1990,RUS,1:21:48.7,+4:06.3,73.96,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
950,30,57,3490145,ROJO Imanol,1990,ESP,1:21:49.0,+4:06.6,74.05,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
951,31,19,3510342,BAUMANN Jonas,1990,SUI,1:21:49.3,+4:06.9,74.14,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
952,32,12,3482105,YAKIMUSHKIN Ivan,1996,RUS,1:22:19.3,+4:36.9,83.15,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
953,33,32,3421154,NYENGET Martin Loewstroem,1992,NOR,1:22:20.0,+4:37.6,83.36,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
954,34,34,3530496,NORRIS David,1990,USA,1:22:22.1,+4:39.7,83.99,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
955,35,55,3181007,VUORELA Markus,1996,FIN,1:22:28.1,+4:45.7,85.79,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
956,36,16,3180301,LEHTONEN Lari,1987,FIN,1:22:29.1,+4:46.7,86.09,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
957,37,28,3500015,RICKARDSSON Daniel,1982,SWE,1:22:29.3,+4:46.9,86.15,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
958,38,29,3190268,BACKSCHEIDER Adrien,1992,FRA,1:22:45.8,+5:03.4,91.10,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
959,39,24,3530511,BJORNSEN Erik,1991,USA,1:22:55.1,+5:12.7,93.90,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
960,40,22,3501297,SANDSTROEM Bjoern,1995,SWE,1:23:33.3,+5:50.9,105.37,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
961,41,31,3300190,YOSHIDA Keishin,1987,JPN,1:23:34.3,+5:51.9,105.67,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
962,42,20,3200356,DOBLER Jonas,1991,GER,1:23:35.8,+5:53.4,106.12,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
963,43,17,3190302,PARISSE Clement,1993,FRA,1:23:39.5,+5:57.1,107.23,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
964,44,42,3300373,MIYAZAWA Hiroyuki,1991,JPN,1:23:41.8,+5:59.4,107.92,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
965,45,53,3501259,EKSTROEM Axel,1995,SWE,1:23:41.8,+5:59.4,107.92,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
966,46,23,3510534,KLEE Beda,1996,SUI,1:23:48.7,+6:06.3,109.99,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
967,47,43,3530679,BRATRUD Kyle,1993,USA,1:24:30.5,+6:48.1,122.54,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
968,48,54,3501176,RUUS Marcus,1994,SWE,1:24:48.4,+7:06.0,127.92,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
969,49,45,3670115,PUKHKALO Vitaliy,1992,KAZ,1:24:53.0,+7:10.6,129.30,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
970,50,37,3530532,PATTERSON Scott,1992,USA,1:25:17.6,+7:35.2,136.68,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
971,51,47,3200072,KATZ Andreas,1988,GER,1:25:35.2,+7:52.8,141.97,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
972,52,60,3180984,LEPISTO Lauri,1996,FIN,1:25:39.8,+7:57.4,143.35,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
973,53,56,3670022,VELICHKO Yevgeniy,1987,KAZ,1:25:57.7,+8:15.3,148.73,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
974,54,59,3270010,MALONEY WESTGAARD Thomas,1995,IRL,1:26:35.5,+8:53.1,160.08,Men's Skiathlon 15/15km C/F,Lillehammer (NOR),"Dec 07, 2019",World Cup,2020
975,1,1,3425825,,,NOR,,1:02:22.4,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
976,,1,3425365,,1990,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
977,,1,3425183,,1987,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
978,,1,3425301,,1988,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
979,,1,3425499,,1991,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
980,2,2,3535469,,,USA,,+48.9,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
981,,2,3535304,,1990,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
982,,2,3535320,,1989,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
983,,2,3535316,,1988,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
984,,2,3535410,,1991,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
985,3,3,3505790,,,SWE,,+1:19.7,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
986,,3,3506008,,1997,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
987,,3,3505956,,1996,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
988,,3,3505217,,1987,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
989,,3,3506079,,1998,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
990,4,4,3185376,,,FIN,,+1:32.5,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
991,,4,3185579,,1996,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
992,,4,3185168,,1988,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
993,,4,3185137,,1987,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
994,,4,3185256,,1990,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
995,5,13,3425822,,,NOR,,+1:46.5,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
996,,13,3426200,,1996,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
997,,13,3427109,,2001,,,,,Women's Rel 4x5 km M,Lillehammer (NOR),"Dec 08, 2019",World Cup,2020
